Name,Position,Fantasy.Team,ID
Devonte' Graham,G,Arenas Maximus II,grahade01
James Harden,G,Arenas Maximus II,hardeja01
Joel Embiid,"F,C",Arenas Maximus II,embiijo01
Jonathan Isaac,F,Arenas Maximus II,isaacjo01
Thomas Bryant,C,Arenas Maximus II,bryanth01
Devin Booker,G,Arenas Maximus II,bookede01
Zach LaVine,G,Arenas Maximus II,lavinza01
Ish Smith,G,Arenas Maximus II,smithis01
Alec Burks,G,Arenas Maximus II,burksal01
Jae Crowder,F,Arenas Maximus II,crowdja01
OG Anunoby,F,Arenas Maximus II,anunoog01
Dario Saric,"F,C",Arenas Maximus II,saricda01
Aron Baynes,C,Arenas Maximus II,baynear01
Bradley Beal,G,Fat Pandas,bealbr01
Chris Paul,G,Fat Pandas,paulch01
Josh Richardson,"G,F",Fat Pandas,richajo01
Myles Turner,"F,C",Fat Pandas,turnemy01
Cody Zeller,"F,C",Fat Pandas,zelleco01
Kevin Love,"F,C",Fat Pandas,loveke01
Brandon Clarke,"F,C",Fat Pandas,clarkbr01
RJ Barrett,"G,F",Fat Pandas,barrerj01
Kyrie Irving,G,Fat Pandas,irvinky01
P.J. Tucker,F,Fat Pandas,tuckepj01
Rui Hachimura,F,Fat Pandas,hachiru01
Ben Simmons,G,Tank for Taco,simmobe01
Luke Kennard,G,Tank for Taco,kennalu01
Jayson Tatum,F,Tank for Taco,tatumja01
Kristaps Porzingis,"F,C",Tank for Taco,porzikr01
Rudy Gobert,C,Tank for Taco,goberru01
Terry Rozier,G,Tank for Taco,roziete01
Lou Williams,G,Tank for Taco,willilo02
Richaun Holmes,"F,C",Tank for Taco,holmeri01
Will Barton,"G,F",Tank for Taco,bartowi01
Aaron Gordon,F,Tank for Taco,gordoaa01
Carmelo Anthony,F,Tank for Taco,anthoca01
Jahlil Okafor,C,Tank for Taco,okafoja01
Josh Hart,"G,F",Tank for Taco,hartjo01
Russell Westbrook,G,Grab Em By The Balls,westbru01
Jimmy Butler,"G,F",Grab Em By The Balls,butleji01
Kelly Oubre,F,Grab Em By The Balls,oubreke01
Thaddeus Young,F,Grab Em By The Balls,youngth01
Andre Drummond,"F,C",Grab Em By The Balls,drumman01
Eric Bledsoe,G,Grab Em By The Balls,bledser01
Joe Ingles,"G,F",Grab Em By The Balls,inglejo01
Derrick Favors,"F,C",Grab Em By The Balls,favorde01
Jeff Teague,G,Grab Em By The Balls,teaguje01
Gordon Hayward,"G,F",Grab Em By The Balls,haywago01
Draymond Green,"F,C",Grab Em By The Balls,greendr01
Davis Bertans,"F,C",Grab Em By The Balls,bertada01
Trae Young,G,Hinkie's Redux,youngtr01
Ja Morant,G,Hinkie's Redux,moranja01
Giannis Antetokounmpo,F,Hinkie's Redux,antetgi01
Al Horford,"F,C",Hinkie's Redux,horfoal01
Domantas Sabonis,"F,C",Hinkie's Redux,sabondo01
Bogdan Bogdanovic,"G,F",Hinkie's Redux,bogdabo01
Jrue Holiday,G,Hinkie's Redux,holidjr01
T.J. Warren,F,Hinkie's Redux,warretj01
Kyle Kuzma,F,Hinkie's Redux,kuzmaky01
Dennis Schroder,G,Hinkie's Redux,schrode01
Marc Gasol,C,Hinkie's Redux,gasolma01
Matisse Thybulle,"G,F",Hinkie's Redux,thybuma01
Jamal Murray,G,Ayton of Injuries,murraja01
Fred VanVleet,G,Ayton of Injuries,vanvlfr01
Tristan Thompson,"F,C",Ayton of Injuries,thomptr01
Glenn Robinson,"G,F",Ayton of Injuries,robingl02
Jaren Jackson,"F,C",Ayton of Injuries,jacksja02
Wendell Carter,C,Ayton of Injuries,cartewe01
Ky Bowman,G,Ayton of Injuries,bowmaky01
Jeremy Lamb,"G,F",Ayton of Injuries,lambje01
Tim Hardaway,"G,F",Ayton of Injuries,hardati02
Nerlens Noel,"F,C",Ayton of Injuries,noelne01
Deandre Ayton,C,Ayton of Injuries,aytonde01
Jarrett Culver,"G,F",Ayton of Injuries,culveja01
Stephen Curry,G,Ayton of Injuries,curryst01
Malcolm Brogdon,G,Hoop Jones,brogdma01
Mike Conley,G,Hoop Jones,conlemi01
Anthony Davis,"F,C",Hoop Jones,davisan02
Danilo Gallinari,F,Hoop Jones,gallida01
Brook Lopez,C,Hoop Jones,lopezbr01
Karl-Anthony Towns,C,Hoop Jones,townska01
Marcus Smart,G,Hoop Jones,smartma01
Rudy Gay,F,Hoop Jones,gayru01
Delon Wright,G,Hoop Jones,wrighde01
Mitchell Robinson,C,Hoop Jones,robinmi01
Mikal Bridges,"G,F",Hoop Jones,bridgmi01
Terrence Ross,"G,F",Hoop Jones,rosste01
Kemba Walker,G,Kotler's Krew,walkeke02
Lonzo Ball,G,Kotler's Krew,balllo01
Pascal Siakam,F,Kotler's Krew,siakapa01
Bam Adebayo,"F,C",Kotler's Krew,adebaba01
Steven Adams,C,Kotler's Krew,adamsst01
Spencer Dinwiddie,G,Kotler's Krew,dinwisp01
Paul George,F,Kotler's Krew,georgpa01
Eric Paschall,F,Kotler's Krew,pascher01
Evan Fournier,"G,F",Kotler's Krew,fournev01
Miles Bridges,F,Kotler's Krew,bridgmi02
Patrick Beverley,G,Kotler's Krew,beverpa01
Dwight Howard,"F,C",Kotler's Krew,howardw01
Damian Lillard,G,Penetrating P Pusher,lillada01
Donovan Mitchell,G,Penetrating P Pusher,mitchdo01
Tobias Harris,F,Penetrating P Pusher,harrito02
Jarrett Allen,"F,C",Penetrating P Pusher,allenja01
Hassan Whiteside,C,Penetrating P Pusher,whiteha01
Brandon Ingram,"G,F",Penetrating P Pusher,ingrabr01
Kendrick Nunn,G,Penetrating P Pusher,nunnke01
Andrew Wiggins,"G,F",Penetrating P Pusher,wiggian01
Blake Griffin,"F,C",Penetrating P Pusher,griffbl01
Dejounte Murray,G,Penetrating P Pusher,murrade01
Gary Harris,"G,F",Penetrating P Pusher,harriga01
De'Aaron Fox,G,Penetrating P Pusher,foxde01
CJ McCollum,G,Jock Itches,mccolcj01
Luka Doncic,"G,F",Jock Itches,doncilu01
Marcus Morris,F,Jock Itches,morrima03
Jabari Parker,F,Jock Itches,parkeja01
Nikola Jokic,"F,C",Jock Itches,jokicni01
Aaron Holiday,G,Jock Itches,holidaa01
Goran Dragic,G,Jock Itches,dragigo01
Derrick Rose,G,Jock Itches,rosede01
Collin Sexton,G,Jock Itches,sextoco01
DeAndre Jordan,C,Jock Itches,jordade01
Nikola Vucevic,"F,C",Jock Itches,vucevni01
D'Angelo Russell,G,Jock Itches,russeda01
Marvin Bagley,F,Jock Itches,baglema01
Kawhi Leonard,"G,F",The Gaza Strippers,leonaka01
DeMar DeRozan,"G,F",The Gaza Strippers,derozde01
LeBron James,F,The Gaza Strippers,jamesle01
Montrezl Harrell,"F,C",The Gaza Strippers,harremo01
Paul Millsap,"F,C",The Gaza Strippers,millspa01
Bojan Bogdanovic,"G,F",The Gaza Strippers,bogdabo02
Jaylen Brown,"G,F",The Gaza Strippers,brownja02
Larry Nance,"F,C",The Gaza Strippers,nancela02
Ricky Rubio,G,The Gaza Strippers,rubiori01
Otto Porter,F,The Gaza Strippers,porteot01
Kyle Lowry,G,The Gaza Strippers,lowryky01
Serge Ibaka,"F,C",The Gaza Strippers,ibakase01
Buddy Hield,G,Terabytes,hieldbu01
Khris Middleton,"G,F",Terabytes,middlkh01
Julius Randle,"F,C",Terabytes,randlju01
Justise Winslow,"G,F",Terabytes,winslju01
Jonas Valanciunas,C,Terabytes,valanjo01
Lauri Markkanen,F,Terabytes,markkla01
Clint Capela,"F,C",Terabytes,capelca01
Harrison Barnes,F,Terabytes,barneha02
Robert Covington,F,Terabytes,covinro01
Shai Gilgeous-Alexander,G,Terabytes,gilgesh01
LaMarcus Aldridge,"F,C",Terabytes,aldrila01
John Collins,"F,C",Terabytes,collijo01
Caris LeVert,"G,F",Terabytes,leverca01
